Date,Season,Demand
04-01-2011 01:00,Light Snow,1006.91
04-01-2011 02:00,Snow,1005.88
04-01-2011 03:00,Snow,1003.41
04-01-2011 04:00,Snow,1001.99
04-01-2011 05:00,Heavy Snow,1000.42
04-01-2011 06:00,Snow,999.04
04-01-2011 07:00,Snow and Breezy,996.64
04-01-2011 08:00,Overcast,994.92
04-01-2011 09:00,Foggy,993.86
04-01-2011 10:00,Overcast,992.42
04-01-2011 11:00,Overcast,990.45
04-01-2011 12:00,Overcast,989.73
04-01-2011 13:00,Overcast,989.05
04-01-2011 14:00,Overcast,988.47
04-01-2011 15:00,Overcast,987.94
04-01-2011 16:00,Overcast,987.66
04-01-2011 17:00,Overcast,988.06
04-01-2011 18:00,Overcast,988.74
04-01-2011 19:00,Overcast,989.21
04-01-2011 20:00,Partly Cloudy,993.22
04-01-2011 21:00,Overcast,990.13
04-01-2011 22:00,Mostly Cloudy,990.2
04-01-2011 23:00,Mostly Cloudy,990.09
04-02-2011 00:00,Mostly Cloudy,990
04-02-2011 01:00,Mostly Cloudy,990.14
04-02-2011 02:00,Mostly Cloudy,990.43
04-02-2011 03:00,Mostly Cloudy,990.86
04-02-2011 04:00,Mostly Cloudy,991.52
04-02-2011 05:00,Mostly Cloudy,992.36
04-02-2011 06:00,Partly Cloudy,992.91
04-02-2011 07:00,Clear,993.65
04-02-2011 08:00,Partly Cloudy,994.27
04-02-2011 09:00,Clear,994.3
04-02-2011 10:00,Partly Cloudy,994.33
04-02-2011 11:00,Mostly Cloudy,994.62
04-02-2011 12:00,Mostly Cloudy,994.42
04-02-2011 13:00,Mostly Cloudy,994.35
04-02-2011 14:00,Mostly Cloudy,994.24
04-02-2011 15:00,Breezy and Partly Cloudy,994.14
04-02-2011 16:00,Partly Cloudy,994.32
04-02-2011 17:00,Partly Cloudy,995.45
04-02-2011 18:00,Mostly Cloudy,996.35
04-02-2011 19:00,Mostly Cloudy,997.03
04-02-2011 20:00,Clear,1003.68
04-02-2011 21:00,Clear,999.16
04-02-2011 22:00,Clear,999.97
04-02-2011 23:00,Clear,1000.52
04-03-2011 00:00,Clear,1000.87
04-03-2011 01:00,Clear,1001.25
04-03-2011 02:00,Partly Cloudy,1001.53
04-03-2011 03:00,Clear,1001.77
04-03-2011 04:00,Clear,1002.18
04-03-2011 05:00,Clear,1002.87
04-03-2011 06:00,Clear,1003.64
04-03-2011 07:00,Clear,1004.67
04-03-2011 08:00,Clear,1005.86
04-03-2011 09:00,Clear,1006.32
04-03-2011 10:00,Clear,1006.56
04-03-2011 11:00,Clear,1006.79
04-03-2011 12:00,Clear,1006.89
04-03-2011 13:00,Clear,1006.59
04-03-2011 14:00,Clear,1006.85
04-03-2011 15:00,Breezy,1007.5
04-03-2011 16:00,Breezy,1008.05
04-03-2011 17:00,Breezy,1008.81
04-03-2011 18:00,Breezy,1009.87
04-03-2011 19:00,Clear,1010.75
04-03-2011 20:00,Mostly Cloudy,1007.72
04-03-2011 21:00,Clear,1012.96
04-03-2011 22:00,Clear,1013.33
04-03-2011 23:00,Clear,1013.95
04-04-2011 00:00,Partly Cloudy,1015.07
04-04-2011 01:00,Partly Cloudy,1016.25
04-04-2011 02:00,Clear,1015.92
04-04-2011 03:00,Partly Cloudy,1015.62
04-04-2011 04:00,Partly Cloudy,1015.25
04-04-2011 05:00,Overcast,1015.25
04-04-2011 06:00,Mostly Cloudy,1015.08
04-04-2011 07:00,Overcast,1015.25
04-04-2011 08:00,Overcast,1014.98
04-04-2011 09:00,Overcast,1014.54
04-04-2011 10:00,Mostly Cloudy,1013.82
04-04-2011 11:00,Overcast,1013.34
04-04-2011 12:00,Light Rain,1010.9
04-04-2011 13:00,Overcast,1009.12
04-04-2011 14:00,Light Rain,1007.43
04-04-2011 15:00,Rain,1005.66
04-04-2011 16:00,Rain,1004.12
04-04-2011 17:00,Overcast,1001.84
04-04-2011 18:00,Overcast,1001.13
04-04-2011 19:00,Overcast,1001.17
04-04-2011 20:00,Overcast,999.65
04-04-2011 21:00,Mostly Cloudy,1001.22
04-04-2011 22:00,Overcast,1000.45
04-04-2011 23:00,Overcast,999.88
04-05-2011 00:00,Overcast,999.94
04-05-2011 01:00,Overcast,998.73
04-05-2011 02:00,Overcast,996.68
04-05-2011 03:00,Overcast,995.05
04-05-2011 04:00,Overcast,993.3
04-05-2011 05:00,Overcast,992.79
04-05-2011 06:00,Mostly Cloudy,992.97
04-05-2011 07:00,Mostly Cloudy,992.52
04-05-2011 08:00,Breezy and Overcast,991.7
04-05-2011 09:00,Breezy and Overcast,990.78
04-05-2011 10:00,Breezy and Overcast,989.74
04-05-2011 11:00,Breezy and Overcast,988.09
04-05-2011 12:00,Breezy and Overcast,987.93
04-05-2011 13:00,Breezy and Mostly Cloudy,987.94
04-05-2011 14:00,Overcast,988.1
04-05-2011 15:00,Breezy and Overcast,989.36
04-05-2011 16:00,Light Rain,990.54
04-05-2011 17:00,Breezy and Overcast,992.04
04-05-2011 18:00,Mostly Cloudy,993.3
04-05-2011 19:00,Overcast,995.66
04-05-2011 20:00,Mostly Cloudy,1002.74
04-05-2011 21:00,Mostly Cloudy,998.04
04-05-2011 22:00,Clear,999.42
04-05-2011 23:00,Clear,1000.73
04-06-2011 00:00,Breezy,1001.38
